STATION_NAME,STATION_DESCRIPTIVE_NAME,zip_code,latitude,longitude
Harold Washington Library-State/Van Buren,"HaroldWashingtonLibrary-State/VanBuren(Brown,Orange,Purple&Pinklines)",60604,41.876862,-87.628196
Austin,Austin(BlueLine),60304,41.870851,-87.776812
Washington,Washington(BlueLine),60696,41.883164,-87.62944
Kedzie-Homan,Kedzie-Homan(BlueLine),60624,41.874341,-87.70604
63rd,63rd(RedLine),60621,41.780536,-87.630952
Kedzie,Kedzie(OrangeLine),60632,41.804236,-87.704406
Laramie,Laramie(GreenLine),60651,41.887163,-87.754986
87th,87th(RedLine),60619,41.735372,-87.624717
Western,Western(BlueLine-ForestParkBranch),60612,41.875478,-87.688436
Western,Western(BrownLine),60625,41.966163,-87.688502
California,California(BlueLine),60647,41.921939,-87.69689
Forest Park,ForestPark(BlueLine),60130,41.874257,-87.817318
Rosemont,Rosemont(BlueLine),60018,41.983507,-87.859388
Adams/Wabash,"Adams/Wabash(Brown,Green,Orange,Pink&Purplelines)",60603,41.879507,-87.626037
Berwyn,Berwyn(RedLine),60640,41.977984,-87.658668
Harlem,Harlem(BlueLine-O'HareBranch),60631,41.98227,-87.8089
Belmont,Belmont(BlueLine),60659,41.938132,-87.712359
Clark/Division,Clark/Division(RedLine),60610,41.90392,-87.631412
Indiana,Indiana(GreenLine),60653,41.821732,-87.621371
Kostner,Kostner(PinkLine),60623,41.853751,-87.733258
Dempster-Skokie,Dempster-Skokie(YellowLine),60077,42.038951,-87.751919
Morgan,Morgan(Green&Pinklines),60661,41.885586,-87.652193
Cicero,Cicero(BlueLine),60644,41.871574,-87.745154
Oakton-Skokie,Oakton-Skokie(YellowLine),60077,42.02624348,-87.74722084
Cottage Grove,CottageGrove(GreenLine),60637,41.780309,-87.605857
Midway,Midway(OrangeLine),60629,41.78661,-87.737875
Central,Central(PurpleLine),60201,42.063987,-87.685617
Pulaski,Pulaski(GreenLine),60624,41.885412,-87.725404
Ridgeland,Ridgeland(GreenLine),60302,41.887159,-87.783661
Linden,Linden(PurpleLine),60091,42.073153,-87.69073
Garfield,Garfield(RedLine),60621,41.79542,-87.631157
North/Clybourn,North/Clybourn(RedLine),60642,41.910655,-87.649177
Oak Park,OakPark(BlueLine),60304,41.872108,-87.791602
Irving Park,IrvingPark(BrownLine),60613,41.954521,-87.674868
Francisco,Francisco(BrownLine),60625,41.966046,-87.701644
LaSalle/Van Buren,"LaSalle/VanBuren(Brown,Orange,Purple&Pinklines)",60604,41.8768,-87.631739
California,California(PinkLine),60608,41.854109,-87.694774
Western,Western(PinkLine),60608,41.854225,-87.685129
69th,69th(RedLine),60621,41.768367,-87.625724
Washington/Wells,"Washington/Wells(Brown,Orange,Purple&Pinklines)",60696,41.882695,-87.63378
Harrison,Harrison(RedLine),60605,41.874039,-87.627479
Clinton,Clinton(Green&Pinklines),60661,41.885678,-87.641782
Kimball,Kimball(BrownLine),60625,41.967901,-87.713065
Addison,Addison(BrownLine),60613,41.947028,-87.674642
California,California(BlueLine),60647,41.921939,-87.69689
State/Lake,"State/Lake(Brown,Green,Orange,Pink&Purplelines)",60602,41.88574,-87.627835
Cicero,Cicero(GreenLine),60651,41.886519,-87.744698
Montrose,Montrose(BlueLine),60641,41.961539,-87.743574
